wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
40500000;20250000;True;3;1;;;;
40600000;20300000;True;3;1;;;;
40700000;20350000;True;1;1;;;;
40800000;20400000;True;2;1;;;;
40900000;20450000;True;2;1;;;;
41000000;20500000;True;4;1;;;;
41100000;20550000;True;1;1;;;;
41200000;20600000;True;2;1;;;;
41300000;20650000;True;0;1;;;;
41400000;20700000;True;2;1;;;;
41500000;20750000;True;4;1;;;;
41600000;20800000;True;2;1;;;;
41700000;20850000;True;2;1;;;;
41800000;20900000;True;2;1;;;;
41900000;20950000;True;0;1;;;;
42000000;21000000;True;1;1;;;;
42100000;21050000;True;2;1;;;;
42200000;21100000;True;2;1;;;;
42300000;21150000;True;2;1;;;;
42400000;21200000;True;4;1;;;;
42500000;21250000;True;3;1;;;;
42600000;21300000;True;2;1;;;;
42700000;21350000;True;1;1;;;;
42800000;21400000;True;2;1;;;;
42900000;21450000;True;1;1;;;;
43000000;21500000;True;3;1;;;;
43100000;21550000;True;0;1;;;;
43200000;21600000;True;1;1;;;;
43300000;21650000;True;2;1;;;;
43400000;21700000;True;0;1;;;;
43500000;21750000;True;2;1;;;;
43600000;21800000;True;3;1;;;;
43700000;21850000;True;1;1;;;;
43800000;21900000;True;0;1;;;;
43900000;21950000;True;0;1;;;;
44000000;22000000;True;2;1;;;;
44100000;22050000;True;1;1;;;;
44200000;22100000;True;2;1;;;;
44300000;22150000;True;1;1;;;;
44400000;22200000;True;1;1;;;;
44500000;22250000;True;1;1;;;;
44600000;22300000;True;0;1;;;;
44700000;22350000;True;1;1;;;;
44800000;22400000;True;3;1;;;;
44900000;22450000;True;2;1;;;;
45000000;22500000;True;1;1;;;;
45100000;22550000;True;2;1;;;;
45200000;22600000;True;2;1;;;;
45300000;22650000;True;3;1;;;;
45400000;22700000;True;1;1;;;;
45500000;22750000;True;1;1;;;;
45600000;22800000;True;3;1;;;;
45700000;22850000;True;1;1;;;;
45800000;22900000;True;2;1;;;;
45900000;22950000;True;3;1;;;;
46000000;23000000;True;1;1;;;;
46100000;23050000;True;2;1;;;;
46200000;23100000;True;3;1;;;;
46300000;23150000;True;3;1;;;;
46400000;23200000;True;1;1;;;;
46500000;23250000;True;1;1;;;;
46600000;23300000;True;2;1;;;;
46700000;23350000;True;2;1;;;;
46800000;23400000;True;2;1;;;;
46900000;23450000;True;2;1;;;;
47000000;23500000;True;3;1;;;;
47100000;23550000;True;2;1;;;;
47200000;23600000;True;3;1;;;;
47300000;23650000;True;3;1;;;;
47400000;23700000;True;4;1;;;;
47500000;23750000;True;0;1;;;;
47600000;23800000;True;1;1;;;;
47700000;23850000;True;1;1;;;;
47800000;23900000;True;1;1;;;;
47900000;23950000;True;2;1;;;;
48000000;24000000;True;2;1;;;;
48100000;24050000;True;2;1;;;;
48200000;24100000;True;1;1;;;;
48300000;24150000;True;2;1;;;;
48400000;24200000;True;2;1;;;;
