wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
31000000;-6,44103E+18;15500000;196512;15500001;;;15000001;175195
31100000;6,41273E+18;15550000;181002;15550001;;;15050001;180526
31200000;-4,18087E+18;15600000;233129;15600001;;;15100001;183311
31300000;8,39816E+18;15650000;184723;15650001;;;15150001;183290
31400000;-3,391E+18;15700000;213818;15700001;;;15200001;178610
31500000;-7,99978E+18;15750000;203083;15750001;;;15250001;182221
31600000;-1,85254E+18;15800000;185890;15800001;;;15300001;180663
31700000;3,7656E+18;15850000;190029;15850001;;;15350001;180454
31800000;9,15631E+18;15900000;187647;15900001;;;15400001;177135
31900000;4,29047E+18;15950000;199290;15950001;;;15450001;180901
32000000;2,35702E+18;16000000;188715;16000001;;;15500001;196512
32100000;-5,10231E+18;16050000;202308;16050001;;;15550001;181002
32200000;-5,73608E+18;16100000;185824;16100001;;;15600001;233129
32300000;5,33437E+18;16150000;200879;16150001;;;15650001;184723
32400000;-1,95215E+18;16200000;191554;16200001;;;15700001;213818
32500000;-8,53053E+18;16250000;191206;16250001;;;15750001;203083
32600000;-9,07072E+18;16300000;190479;16300001;;;15800001;185890
32700000;-2,32392E+18;16350000;189149;16350001;;;15850001;190029
32800000;6,70144E+18;16400000;201219;16400001;;;15900001;187647
32900000;-2,4204E+18;16450000;199372;16450001;;;15950001;199290
33000000;7,75282E+18;16500000;192859;16500001;;;16000001;188715
33100000;-4,29956E+18;16550000;206368;16550001;;;16050001;202308
33200000;-2,26033E+17;16600000;206495;16600001;;;16100001;185824
33300000;-4,85163E+18;16650000;202446;16650001;;;16150001;200879
33400000;7,85861E+18;16700000;196270;16700001;;;16200001;191554
33500000;2,63193E+18;16750000;193304;16750001;;;16250001;191206
33600000;7,3586E+18;16800000;200099;16800001;;;16300001;190479
33700000;4,22078E+18;16850000;195347;16850001;;;16350001;189149
33800000;-6,53514E+18;16900000;195972;16900001;;;16400001;201219
33900000;4,28904E+18;16950000;211672;16950001;;;16450001;199372
34000000;8,50949E+18;17000000;210952;17000001;;;16500001;192859
34100000;-5,459E+17;17050000;207224;17050001;;;16550001;206368
34200000;8,85457E+18;17100000;221297;17100001;;;16600001;206495
34300000;6,05204E+18;17150000;200312;17150001;;;16650001;202446
34400000;-8,91965E+18;17200000;197019;17200001;;;16700001;196270
34500000;-4,92572E+18;17250000;199610;17250001;;;16750001;193304
34600000;-5,01182E+18;17300000;216740;17300001;;;16800001;200099
34700000;4,04309E+18;17350000;209280;17350001;;;16850001;195347
34800000;6,30005E+18;17400000;214922;17400001;;;16900001;195972
34900000;-8,23254E+18;17450000;206674;17450001;;;16950001;211672
35000000;4,04461E+18;17500000;209093;17500001;;;17000001;210952
35100000;-4,71145E+18;17550000;210002;17550001;;;17050001;207224
35200000;-6,28468E+18;17600000;220549;17600001;;;17100001;221297
35300000;5,50053E+18;17650000;211183;17650001;;;17150001;200312
35400000;2,13127E+18;17700000;210341;17700001;;;17200001;197019
35500000;6,50524E+18;17750000;214471;17750001;;;17250001;199610
35600000;-7,59191E+18;17800000;213579;17800001;;;17300001;216740
35700000;-6,21875E+18;17850000;208208;17850001;;;17350001;209280
35800000;7,58123E+18;17900000;219110;17900001;;;17400001;214922
35900000;-4,63185E+18;17950000;216846;17950001;;;17450001;206674
36000000;-8,43799E+18;18000000;213863;18000001;;;17500001;209093
36100000;-8,33187E+18;18050000;232287;18050001;;;17550001;210002
36200000;5,35767E+18;18100000;214212;18100001;;;17600001;220549
36300000;7,14414E+17;18150000;223819;18150001;;;17650001;211183
36400000;-8,96385E+18;18200000;225470;18200001;;;17700001;210341
36500000;6,80549E+18;18250000;214090;18250001;;;17750001;214471
36600000;6,97404E+18;18300000;215722;18300001;;;17800001;213579
36700000;-1,48809E+18;18350000;215398;18350001;;;17850001;208208
36800000;-2,2012E+18;18400000;225190;18400001;;;17900001;219110
36900000;7,0794E+18;18450000;232802;18450001;;;17950001;216846
37000000;7,8191E+18;18500000;231156;18500001;;;18000001;213863
37100000;2,5001E+18;18550000;217113;18550001;;;18050001;232287
37200000;7,08927E+18;18600000;238560;18600001;;;18100001;214212
37300000;7,06768E+18;18650000;259229;18650001;;;18150001;223819
37400000;-1,26482E+18;18700000;228734;18700001;;;18200001;225470
37500000;6,5144E+18;18750000;247814;18750001;;;18250001;214090
37600000;3,03674E+17;18800000;222371;18800001;;;18300001;215722
37700000;7,47303E+18;18850000;224450;18850001;;;18350001;215398
37800000;9,21817E+18;18900000;232045;18900001;;;18400001;225190
37900000;2,54144E+18;18950000;224418;18950001;;;18450001;232802
38000000;7,21662E+17;19000000;234300;19000001;;;18500001;231156
38100000;6,61662E+18;19050000;239280;19050001;;;18550001;217113
38200000;1,76009E+18;19100000;241497;19100001;;;18600001;238560
38300000;8,3463E+18;19150000;243510;19150001;;;18650001;259229
38400000;8,60673E+18;19200000;232401;19200001;;;18700001;228734
38500000;3,09436E+18;19250000;228806;19250001;;;18750001;247814
38600000;-7,08255E+18;19300000;225733;19300001;;;18800001;222371
38700000;3,4481E+18;19350000;246666;19350001;;;18850001;224450
38800000;1,45422E+17;19400000;251317;19400001;;;18868540;223900
38900000;8,7914E+18;19450000;243155;19450001;;;18900001;232045
39000000;-6,2234E+18;19500000;234880;19500001;;;18950001;224418
39100000;4,26838E+18;19550000;242976;19550001;;;19000001;234300
39200000;-3,1733E+18;19600000;229990;19600001;;;19050001;239280
39300000;5,35846E+18;19650000;233314;19650001;;;19100001;241497
39400000;2,32864E+18;19700000;228111;19700001;;;19150001;243510
39500000;8,45431E+18;19750000;234237;19750001;;;19200001;232401
39600000;-4,5534E+18;19800000;265625;19800001;;;19250001;228806
39700000;-9,18072E+18;19850000;249395;19850001;;;19300001;225733
39800000;-9,01415E+18;19900000;251842;19900001;;;19350001;246666
39900000;5,46575E+18;19950000;253020;19950001;;;19400001;251317
40000000;-4,78962E+17;20000000;250714;20000001;;;19450001;243155
40100000;1,82519E+17;20050000;253846;20050001;;;19500001;234880
40200000;7,51216E+17;20100000;239782;20100001;;;19550001;242976
40300000;9,14333E+18;20150000;243466;20150001;;;19600001;229990
40400000;-7,63213E+18;20200000;252473;20200001;;;19650001;233314
40500000;3,04495E+18;20250000;264075;20250001;;;19700001;228111
40600000;-8,71075E+18;20300000;241248;20300001;;;19750001;234237
40700000;3,92671E+17;20350000;256000;20350001;;;19800001;265625
40800000;-8,99514E+18;20400000;244843;20400001;;;19850001;249395
40900000;2,32322E+18;20450000;261871;20450001;;;19900001;251842
41000000;3,22226E+18;20500000;279927;20500001;;;19950001;253020
41100000;-2,45067E+18;20550000;257555;20550001;;;20000001;250714
41200000;6,16711E+18;20600000;252117;20600001;;;20050001;253846
41300000;-2,45316E+18;20650000;269524;20650001;;;20100001;239782
41400000;6,46732E+18;20700000;246040;20700001;;;20150001;243466
41500000;2,32713E+18;20750000;257571;20750001;;;20200001;252473
41600000;6,67574E+18;20800000;248034;20800001;;;20250001;264075
41700000;-7,32408E+17;20850000;250524;20850001;;;20300001;241248
41800000;6,61876E+17;20900000;273637;20900001;;;20350001;256000
41900000;9,13741E+18;20950000;251187;20950001;;;20400001;244843
42000000;-3,32345E+18;21000000;254801;21000001;;;20450001;261871
42100000;-8,62747E+18;21050000;254683;21050001;;;20500001;279927
42200000;9,09309E+18;21100000;244950;21100001;;;20550001;257555
42300000;3,11091E+18;21150000;259532;21150001;;;20600001;252117
42400000;3,14584E+18;21200000;264329;21200001;;;20650001;269524
42500000;-4,41727E+18;21250000;264705;21250001;;;20700001;246040
42600000;-8,10077E+18;21300000;267621;21300001;;;20750001;257571
42700000;-1,12831E+18;21350000;254973;21350001;;;20800001;248034
42800000;3,94239E+18;21400000;284474;21400001;;;20850001;250524
42900000;-7,76264E+18;21450000;269109;21450001;;;20900001;273637
43000000;2,83375E+18;21500000;310209;21500001;;;20950001;251187
43100000;-2,21329E+18;21550000;291564;21550001;;;21000001;254801
43200000;-6,2464E+18;21600000;308509;21600001;;;21050001;254683
43300000;7,83035E+18;21650000;263551;21650001;;;21100001;244950
43400000;-2,84047E+18;21700000;276330;21700001;;;21150001;259532
43500000;8,87276E+18;21750000;266606;21750001;;;21200001;264329
